Oplotnica;185;158;126;155;173;184;186;214
Ormož;1049;552;584;580;854;843;879;882
Osilnica;24;17;13;12;28;19;20;16
Pesnica;613;505;455;474;577;557;537;520
Piran/Pirano;702;595;528;533;695;878;892;980
Pivka;189;163;142;147;204;266;290;314
Podèetrtek;218;187;152;147;183;200;186;203
Podlehnik;106;108;95;95;122;136;149;152
Podvelka;239;177;123;130;183;198;194;232
Poljèane;-;232;157;196;245;268;262;320
Polzela;305;253;219;231;300;345;311;388
Postojna;589;520;426;462;633;842;865;955
Prebold;365;270;230;207;282;307;266;286
Preddvor;88;72;55;76;95;139;159;153
Prevalje;285;238;188;238;325;370;318;391
Ptuj;1408;1141;966;975;1374;1453;1456;1432
Puconci;564;477;444;486;657;627;589;537
Raèe - Fram;355;354;299;302;424;458;444;454
Radeèe;236;218;175;144;207;250;248;386
Radenci;358;292;269;286;378;371;358;324
Radlje ob Dravi;433;352;286;335;464;470;433;494
Radovljica;521;397;323;408;617;763;657;770
Ravne na Koroškem;698;538;426;571;711;779;705;779
Razkrižje;49;66;55;52;86;89;74;72
Reèica ob Savinji;-;140;112;141;141;144;116;117
Renèe - Vogrsko;-;108;93;110;159;200;206;231
Ribnica;369;261;216;240;328;385;346;430
Ribnica na Pohorju;95;75;80;71;83;95;94;84
Rogaška Slatina;741;643;573;540;728;733;667;695
Rogašovci;389;307;291;327;399;351;310;264
Rogatec;235;188;171;158;212;230;214;224
Ruše;655;539;425;492;586;635;628;529
Selnica ob Dravi;308;281;257;273;317;349;343;291
Semiè;238;208;196;216;270;255;286;303
Sevnica;868;658;588;607;953;1154;1062;1154
Sežana;345;277;238;249;377;513;567;712
Slovenj Gradec;744;679;562;725;997;1207;1023;1088
Slovenska Bistrica;1847;1149;980;1169;1384;1524;1627;1761
Slovenske Konjice;799;699;564;684;783;880;903;978
Sodražica;68;56;52;58;78;92;86;97
Solèava;24;30;25;29;27;37;24;31
Središèe ob Dravi;-;92;80;79;129;132;135;154
Starše;216;212;182;194;252;263;271;240
Straža;-;108;103;101;126;169;209;248
Sveta Ana;92;57;55;71;91;107;89;98
Sveta Trojica v Slov. goricah;-;54;53;69;106;107;100;94
Sveti Andraž v Slov. goricah;73;55;37;44;65;76;72;61
Sveti Jurij ob Šèavnici;205;144;132;164;205;219;195;205
Sveti Jurij v Slov. goricah;-;66;53;68;93;76;79;88
Sveti Tomaž;-;91;104;109;169;145;163;152
Šalovci;142;137;136;119;154;142;129;130
Šempeter - Vrtojba;178;175;146;158;225;299;309;362
Šenèur;203;198;146;175;250;303;258;299
Šentilj;611;610;532;542;609;634;610;527
Šentjernej;227;213;170;196;232;280;352;358
Šentjur;977;866;775;766;969;1044;1060;1197
Šentrupert;-;46;39;44;56;143;118;133
Škocjan;108;132;100;118;145;186;190;214
Škofja Loka;591;415;359;447;723;816;784;904
Škofljica;149;170;153;160;231;325;328;423
Šmarje pri Jelšah;656;537;475;479;567;657;611;643
Šmarješke Toplice;-;46;35;51;65;97;103;114
Šmartno ob Paki;119;127;112;118;155;214;211;177
Šmartno pri Litiji;142;188;155;224;258;262;290;277
Šoštanj;378;343;305;313;410;522;507;552
Štore;228;197;144;141;213;259;203;244
Tabor;89;78;61;57;87;104;87;95
Tišina;351;267;263;279;474;436;364;352
Tolmin;508;412;361;417;595;572;511;556
Trbovlje;1292;1051;860;846;1056;1232;1273;1405
Trebnje;534;380;350;353;491;693;559;682
Trnovska vas;58;53;43;52;85;67;58;71
Trzin;107;100;62;72;96;142;130;159
Tržiè;637;480;429;526;735;860;844;873
Turnišèe;451;365;318;315;393;364;341;324
Velenje;1983;1644;1408;1421;1887;2524;2510;2464
Velika Polana;163;138;125;119;165;144;123;116
Velike Lašèe;95;80;71;60;99;145;166;186
Veržej;60;54;54;59;87;88;72;71
Videm;299;264;236;274;399;400;365;356
Vipava;152;138;110;136;193;268;308;336
Vitanje;107;98;87;90;127;132;112;105
Vodice;94;107;83;92;106;142;137;157
Vojnik;361;296;245;276;352;386;365;413
Vransko;132;117;101;82;107;136;129;143
Vrhnika;561;386;338;662;800;843;876;1018
Vuzenica;152;126;97;121;159;195;172;198
Zagorje ob Savi;780;617;526;545;721;853;877;999
Zavrè;98;83;77;81;105;94;113;101
Zreèe;277;271;227;268;290;331;339;361
Žalec;1473;1097;989;913;1180;1409;1350;1506
Železniki;104;91;77;116;125;177;180;195
Žetale;68;68;52;57;77;65;72;69
Žiri;74;64;53;80;114;145;107;143
Žirovnica;104;87;80;96;118;162;156;168
Žužemberk;88;98;78;87;158;152;215;238
