Kozje;5.67;6.27;6.78;9.55;8.02;10.57;10.07;9.63
Kranj;9.57;8.32;8.58;9.51;9.05;10.87;9.60;9.26
Kranjska Gora;8.71;7.17;9.04;6.05;11.69;9.55;8.26;4.68
Križevci;5.03;6.20;6.93;6.14;10.19;8.22;8.79;9.18
Krško;8.05;8.14;8.75;7.29;8.58;11.05;9.90;9.93
Kungota;4.91;9.13;5.73;4.47;6.27;8.95;9.19;8.14
Kuzma;1.23;5.59;2.55;3.72;3.84;12.47;4.42;6.31
Laško;7.76;6.50;8.83;8.99;9.74;8.66;11.26;9.60
Lenart;9.77;7.63;5.72;7.36;8.47;9.03;10.77;7.54
Lendava/Lendva;5.59;6.47;6.90;7.65;8.80;7.91;9.33;7.16
Litija;11.43;8.18;8.95;6.92;9.49;9.33;9.92;9.57
Ljubljana;10.32;10.23;9.34;9.40;9.90;9.64;9.86;8.99
Ljubno;5.88;8.16;8.00;6.36;9.35;10.13;11.34;10.68
Ljutomer;5.79;6.24;6.33;7.27;7.45;9.68;9.00;8.04
Log - Dragomer;-;14.93;9.33;12.31;12.01;7.71;8.74;11.05
Logatec;9.71;7.98;8.07;9.23;10.35;10.95;9.20;8.32
Loška dolina;8.96;11.26;12.34;8.35;9.23;6.96;11.37;5.17
Loški Potok;6.35;4.91;7.16;2.00;9.08;6.61;8.80;5.26
Lovrenc na Pohorju;6.32;6.01;6.41;11.19;7.71;9.28;9.04;6.73
Luèe;7.46;5.02;7.82;7.67;7.78;8.51;11.89;9.38
Lukovica;7.50;8.56;5.22;7.18;7.75;10.19;10.27;6.39
Majšperk;7.26;6.03;7.91;7.57;11.32;9.43;13.07;13.22
Makole;-;4.75;7.18;8.09;7.73;9.13;9.82;7.91
Maribor;8.65;7.69;7.61;8.19;9.32;9.46;9.87;8.86
Markovci;5.49;8.20;6.29;8.76;9.54;9.28;9.46;9.78
Medvode;8.53;9.21;8.89;10.20;8.94;8.52;9.34;8.95
Mengeš;9.68;9.76;10.26;10.01;11.26;9.72;11.77;9.37
Metlika;7.68;6.27;8.00;8.89;9.98;12.12;10.03;7.97
Mežica;4.63;6.96;6.21;7.60;8.46;9.88;10.19;7.46
Miklavž na Dravskem polju;8.23;9.30;9.13;7.47;9.89;9.25;10.78;8.86
Miren - Kostanjevica;9.14;9.24;9.70;11.77;9.55;9.28;12.20;10.36
Mirna;-;-;-;-;-;-;13.58;12.14
Mirna Peè;11.47;9.66;8.64;8.98;11.04;13.40;11.24;11.80
Mislinja;8.21;10.95;14.03;10.89;10.65;12.26;13.50;10.17
Mokronog - Trebelno;-;6.40;7.61;7.89;9.89;6.41;10.40;10.55
Moravèe;6.32;7.28;5.17;10.35;8.94;10.80;10.33;9.47
Moravske Toplice;4.85;3.86;7.32;7.67;8.02;10.73;8.97;8.02
Mozirje;15.11;10.00;10.34;9.33;9.04;11.74;12.93;7.80
Murska Sobota;9.10;7.67;7.87;8.04;9.46;10.98;10.58;8.31
Muta;6.81;4.91;4.82;8.24;9.12;8.89;11.86;16.65
Naklo;8.07;10.29;10.46;8.61;8.56;10.80;11.24;11.72
Nazarje;4.92;5.99;5.45;9.30;8.46;13.44;9.53;11.66
Nova Gorica;12.45;8.67;8.30;9.26;10.53;9.72;8.64;8.21
Novo mesto;12.38;9.28;10.21;10.18;10.44;10.67;10.89;11.37
Odranci;3.54;2.90;7.17;8.88;8.86;11.42;7.33;7.37
Oplotnica;5.81;7.56;6.13;10.64;8.58;8.00;12.91;7.69
Ormož;7.61;5.41;5.96;6.48;6.25;7.87;9.66;6.52
Osilnica;-;2.38;-;7.44;-;2.45;7.58;2.58
Pesnica;5.04;5.94;6.36;6.09;5.55;6.78;8.47;7.47
Piran/Pirano;7.83;7.07;8.13;7.39;7.17;9.07;7.49;6.98
Pivka;8.62;8.24;8.05;8.10;8.38;8.03;8.77;6.13
Podèetrtek;6.61;8.69;6.11;5.74;9.62;12.62;11.74;9.95
Podlehnik;2.55;5.68;5.81;8.99;7.38;8.60;9.08;5.93
Podvelka;5.53;6.64;9.20;3.87;6.66;8.69;10.80;8.99
Poljèane;-;6.51;6.63;7.22;8.98;10.71;11.19;7.61
Polzela;7.18;6.92;7.49;7.77;7.21;10.91;10.51;9.24
Postojna;10.74;9.19;10.87;8.25;10.06;11.08;10.67;7.25
Prebold;6.32;8.68;6.74;10.56;10.98;10.00;10.29;7.60
Preddvor;7.74;8.85;7.19;7.54;8.21;10.73;12.36;11.53
Prevalje;6.80;5.54;8.31;9.22;10.52;9.52;9.98;9.43
Ptuj;8.17;8.09;8.65;8.83;10.24;10.21;11.02;9.13
Puconci;3.34;4.95;5.39;4.73;7.38;5.87;7.22;8.41
Raèe - Fram;8.30;5.72;8.27;10.13;10.41;9.56;11.54;8.68
Radeèe;6.29;8.49;11.06;8.49;11.25;12.36;6.82;11.77
Radenci;7.36;7.58;8.08;6.78;9.99;10.24;5.90;7.09
Radlje ob Dravi;9.10;6.05;6.82;11.19;8.30;8.98;10.14;9.26
Radovljica;8.71;7.91;10.05;9.78;9.81;9.57;11.08;9.82
Ravne na Koroškem;7.82;8.75;9.64;8.80;9.21;11.56;12.47;9.26
Razkrižje;2.21;3.71;8.93;5.21;8.13;10.43;11.24;5.40
Reèica ob Savinji;-;9.14;7.43;8.66;10.04;8.71;9.97;10.69
Renèe - Vogrsko;-;7.26;6.62;10.01;11.15;10.03;10.44;9.48
Ribnica;8.54;7.51;10.64;10.37;11.04;9.85;8.80;9.41
Ribnica na Pohorju;5.50;3.97;8.14;3.19;7.31;10.79;5.84;8.45
Rogaška Slatina;7.65;6.56;6.85;8.28;10.81;12.25;10.30;7.19
Rogašovci;6.33;3.63;6.48;4.95;4.66;5.90;7.87;7.58
Rogatec;7.11;5.90;6.66;5.06;7.64;10.20;9.29;7.70
Ruše;9.84;8.17;7.28;7.12;9.28;7.15;8.45;7.37
Selnica ob Dravi;7.01;5.05;7.67;8.81;8.83;9.23;9.49;8.52
Semiè;7.22;7.69;8.71;6.87;11.39;8.00;7.83;12.35
Sevnica;7.35;8.57;8.10;8.67;8.01;10.31;9.97;9.19
